Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABB,ABB Ltd Common Stock,$32.975,-0.075,-0.227%,66147850000.00,Switzerland,,175969,Consumer Durables,Electrical Products
ABCM,Abcam plc American Depositary Shares,$20.51,-0.06,-0.292%,4651286822.00,United Kingdom,2020,11158,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHL,Achilles Therapeutics plc American Depositary Shares,$8.195,0.255,3.212%,332745592.00,United Kingdom,2021,60670,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACIU,AC Immune SA Common Stock,$6.38,-0.07,-1.085%,463523933.00,Switzerland,2016,29012,Health Care,Biotechnology: Pharmaceutical Preparations
ACN,Accenture plc Class A Ordinary Shares (Ireland),$328.085,2.895,0.89%,207537459751.00,Ireland,2001,162663,Technology,EDP Services
ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$5.13,0.01,0.195%,800733743.00,United Kingdom,2015,139190,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADXN,Addex Therapeutics Ltd American Depositary Shares,$8.915,-0.095,-1.054%,50695994.00,Switzerland,,3161,Health Care,Biotechnology: Pharmaceutical Preparations
AEG,AEGON N.V. Common Stock,$5.27,0.03,0.573%,10702987055.00,Netherlands,,353408,Finance,Life Insurance
AER,AerCap Holdings N.V. Ordinary Shares,$59.66,0.34,0.573%,7957384458.00,Netherlands,2006,65120,Technology,Diversified Commercial Services
AFMD,Affimed N.V.,$5.765,0.065,1.14%,690254490.00,Germany,2014,64829,Health Care,Biotechnology: Pharmaceutical Preparations
AGRO,Adecoagro S.A. Common Shares,$8.96,0.18,2.05%,1042094216.00,Luxembourg,2011,49676,,Farming/Seeds/Milling
AKTX,Akari Therapeutics plc ADR (0.01 USD),$1.5999,-0.0101,-0.627%,76150951.00,United Kingdom,,2576,Health Care,Biotechnology: Pharmaceutical Preparations
ALC,Alcon Inc. Ordinary Shares,$78.81,0.31,0.395%,38616900000.00,Switzerland,2019,41829,Health Care,Ophthalmic Goods
ALKS,Alkermes plc Ordinary Shares,$31.605,-0.095,-0.30%,5098882753.00,Ireland,1991,40414,Health Care,Biotechnology: Pharmaceutical Preparations
ALV,Autoliv Inc. Common Stock,$92.59,0.90,0.982%,8099034239.00,Sweden,,72125,Capital Goods,Auto Parts:O.E.M.
AMRN,Amarin Corporation plc,$5.07,0.05,0.996%,2004183188.00,Ireland,,320941,Health Care,Biotechnology: Pharmaceutical Preparations
AMYT,Amryt Pharma plc American Depositary Shares,$12.09,0.09,0.75%,766275420.00,United Kingdom,,1697,Health Care,Biotechnology: Pharmaceutical Preparations
APTV,Aptiv PLC Ordinary Shares,$165.72,0.60,0.363%,44828515163.00,United Kingdom,2011,533599,Capital Goods,Auto Parts:O.E.M.
APTV^A,Aptiv PLC 5.50% Series A Mandatory Convertible Preferred Shares,$185.03,-0.01,-0.005%,,United Kingdom,,21348,,
ARBK,Argo Blockchain plc American Depositary Shares,$15.4946,-0.0054,-0.035%,7237253948.00,United Kingdom,2021,154462,,
ARGX,argenx SE American Depositary Shares,$295.845,0.125,0.042%,15206037455.00,Netherlands,2017,42468,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARQQ,Arqit Quantum Inc. Ordinary Shares,$16.79,-0.89,-5.034%,1848132890.00,United Kingdom,,122040,,
ARQQW,Arqit Quantum Inc. Warrants,$2.02,-0.23,-10.222%,0.00,United Kingdom,,27700,,
ARVL,Arrival Ordinary Shares,$15.17,0.71,4.91%,9411943443.00,Luxembourg,,536114,Capital Goods,Auto Manufacturing
ASML,ASML Holding N.V. New York Registry Shares,$734.78,4.51,0.618%,303706023698.00,Netherlands,1995,204901,Technology,Industrial Machinery/Components
ASND,Ascendis Pharma A/S American Depositary Shares,$169.07,-0.20,-0.118%,9609776493.00,Denmark,2015,25509,Health Care,Biotechnology: Pharmaceutical Preparations
ASPS,Altisource Portfolio Solutions S.A. Common Stock,$13.455,-0.785,-5.513%,213893220.00,Luxembourg,,80919,Finance,Finance: Consumer Services
ATAI,ATAI Life Sciences N.V. Common Shares,$12.49,-0.06,-0.478%,1933699002.00,Germany,2008,97823,,
ATCO,Atlas Corp. Common Shares,$14.53,0.11,0.763%,3589020137.00,United Kingdom,,27492,Transportation,Marine Transportation
ATCO^D,Atlas Corp. 7.95% Series D,$25.59,-0.0339,-0.132%,,United Kingdom,,1954,,
ATCO^H,Atlas Corp. 7.875% Series H,$25.54,-0.06,-0.234%,,United Kingdom,,374,,
ATCO^I,Atlas Corp. Series I Fixed-to-Floating ,$26.88,0.09,0.336%,,United Kingdom,,108,,
ATCOL,Atlas Corp. 7.125% Notes due 2027,$26.86,-0.1386,-0.513%,0.00,United Kingdom,,112,,
AURC,Aurora Acquisition Corp. Class A Ordinary Shares,$9.97,0.03,0.302%,346461079.00,United Kingdom,2021,753,Finance,Business Services
AURCU,Aurora Acquisition Corp. Unit,$10.30,0.03,0.292%,0.00,United Kingdom,2021,615,Finance,Business Services
AURCW,Aurora Acquisition Corp. Warrant,$1.59,-0.01,-0.625%,0.00,United Kingdom,2021,1224,Finance,Business Services
AUTL,Autolus Therapeutics plc American Depositary Share,$5.90,0.04,0.683%,429181234.00,United Kingdom,2018,43264,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVDL,Avadel Pharmaceuticals plc American Depositary Shares,$10.21,0.21,2.10%,598267590.00,France,,264484,Health Care,Biotechnology: Pharmaceutical Preparations
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,$34.42,0.11,0.321%,3814878882.00,United Kingdom,2014,80806,Public Utilities,Electric Utilities: Central
AZN,AstraZeneca PLC American Depositary Shares,$61.21,0.60,0.99%,189645216143.00,United Kingdom,,814727,Health Care,Biotechnology: Pharmaceutical Preparations
BBVA,Banco Bilbao Vizcaya Argentaria S.A. Common Stock,$6.825,0.005,0.073%,45508325909.00,Spain,,313189,Finance,Commercial Banks
BCS,Barclays PLC Common Stock,$10.975,0.175,1.62%,46223352416.00,United Kingdom,,635438,Finance,Commercial Banks
BCYC,Bicycle Therapeutics plc American Depositary Shares,$54.50,1.75,3.318%,1390257504.00,United Kingdom,2019,116256,Health Care,Biotechnology: Pharmaceutical Preparations
BFRA,Biofrontera AG American Depositary Shares,$5.3239,-0.0761,-1.409%,150978840.00,Germany,2018,1874,Health Care,Biotechnology: Pharmaceutical Preparations
BNTX,BioNTech SE American Depositary Share,$248.27,2.32,0.943%,60209684418.00,Germany,2019,404508,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BP,BP p.l.c. Common Stock,$29.4379,0.5679,1.967%,98182349025.00,United Kingdom,,3037268,Energy,Integrated oil Companies
BPTS,Biophytis SA American Depositary Share,$7.00,0.00,0.00%,87989986.00,France,2021,111,Health Care,Biotechnology: Pharmaceutical Preparations
BROG,Brooge Energy Limited Ordinary Shares,$8.75,0.125,1.449%,958893723.00,United Kingdom,2018,1406,Energy,Integrated oil Companies
BROGW,Brooge Holdings Limited Warrant expiring 12/20/2024,$0.5799,0.0499,9.415%,0.00,United Kingdom,2018,1200,Energy,Integrated oil Companies
BSA,BrightSphere Investment Group Inc. 5.125% Notes due 2031,$25.34,0.00,0.00%,0.00,United Kingdom,2016,78,Finance,Finance/Investors Services
BSIG,BrightSphere Investment Group Inc. Common Stock,$26.71,0.10,0.376%,2120519988.00,United Kingdom,2014,26351,Finance,Finance/Investors Services
BSN,Broadstone Acquisition Corp. Class A Ordinary Shares,$9.95,0.01,0.101%,379720616.00,United Kingdom,2020,5269,Finance,Business Services
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,$34.95,0.06,0.172%,80198103547.00,United Kingdom,,884907,Consumer Non-Durables,Farming/Seeds/Milling
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$54.8249,-0.1251,-0.228%,108538694015.00,Belgium,,660961,Consumer Non-Durables,Beverages (Production/Distribution)
CALT,Calliditas Therapeutics AB American Depositary Shares,$20.93,0.69,3.409%,547754677.00,Sweden,2020,1221,Health Care,Biotechnology: Pharmaceutical Preparations
CB,Chubb Limited  Common Stock,$184.005,1.225,0.67%,79411207687.00,Switzerland,,126778,Finance,Property-Casualty Insurers
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$54.11,0.06,0.111%,24671337568.00,United Kingdom,,77855,Consumer Non-Durables,Beverages (Production/Distribution)
CLB,Core Laboratories N.V. Common Stock,$30.9399,0.6499,2.146%,1433481705.00,Netherlands,1995,57118,Energy,Oilfield Services/Equipment
CLLS,Cellectis S.A. American Depositary Shares,$9.0583,-0.0517,-0.568%,411802184.00,France,2015,103627,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CMPR,Cimpress plc Ordinary Shares (Ireland),$82.77,-1.66,-1.966%,2073725788.00,Netherlands,,13889,Consumer Services,Recreational Products/Toys
CMPS,COMPASS Pathways Plc American Depository Shares,$30.85,-0.62,-1.97%,1286301085.00,United Kingdom,2020,70474,Health Care,Biotechnology: Pharmaceutical Preparations
CMRE,Costamare Inc. Common Stock $0.0001 par value,$14.96,0.11,0.741%,1846369708.00,Greece,2010,79075,Transportation,Marine Transportation
CMRE^B,Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands),$25.95,-0.035,-0.135%,,Greece,,360,,
CMRE^C,Costamare Inc. Perpetual Preferred Series C (Marshall Islands),$26.22,0.15,0.575%,,Greece,,500,,
CMRE^D,Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock,$26.05,0.195,0.754%,,Greece,,6004,,
CMRE^E,Costamare Inc. 8.875% Series E Cumulative Redeemable Perpetual Preferred Stock par value $0.0001,$27.22,0.00,0.00%,,Greece,,111,,
CNTA,Centessa Pharmaceuticals plc American Depositary Shares,$13.675,0.005,0.037%,1229374555.00,United Kingdom,2021,5339,,
CNTG,Centogene N.V. Common Shares,$10.34,-0.16,-1.524%,232083802.00,Germany,2019,19006,Health Care,Medical Specialities
CPLP,Capital Product Partners L.P. Common Units,$12.41,-0.04,-0.321%,226751673.00,Greece,2007,25350,Transportation,Marine Transportation
CRH,CRH PLC American Depositary Shares,$46.48,-0.34,-0.726%,36071318255.00,Ireland,,148395,Capital Goods,Building Materials
CRSP,CRISPR Therapeutics AG Common Shares,$99.56,0.93,0.943%,7586589979.00,Switzerland,2016,492015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CRTO,Criteo S.A. American Depositary Shares,$37.38,0.70,1.908%,2280387795.00,France,2013,11338,Technology,Advertising
CS,Credit Suisse Group American Depositary Shares,$10.425,0.075,0.725%,25137472903.00,Switzerland,,599113,Finance,Investment Bankers/Brokers/Service
CSTM,Constellium SE Ordinary Shares (France),$19.595,0.395,2.057%,2776167987.00,Netherlands,2013,83944,Basic Industries,Metal Fabrications
CTRM,Castor Maritime Inc. Common Shares,$2.33,0.03,1.304%,217899864.00,Cyprus,,487318,Transportation,Marine Transportation
CVAC,CureVac N.V. Ordinary Shares,$43.49,-0.28,-0.64%,8125200647.00,Germany,2020,83094,Health Care,Biotechnology: Pharmaceutical Preparations
CYAD,Celyad Oncology SA American Depositary Shares,$4.1199,0.0599,1.475%,63833549.00,Belgium,2015,12966,Health Care,Biotechnology: Pharmaceutical Preparations
DAC,Danaos Corporation Common Stock,$72.37,0.14,0.194%,1490745288.00,Greece,2006,61881,Transportation,Marine Transportation
DB,Deutsche Bank AG Common Stock,$13.315,0.095,0.719%,27478608929.00,Germany,,592467,Finance,Commercial Banks
DBVT,DBV Technologies S.A. American Depositary Shares,$4.92,-0.10,-1.992%,540842680.00,France,2014,1783,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
DEO,Diageo plc Common Stock,$193.15,-0.58,-0.299%,112563267648.00,United Kingdom,,43286,Consumer Non-Durables,Beverages (Production/Distribution)
DHT,DHT Holdings Inc.,$6.699,0.269,4.184%,1124883908.00,Jersey,2005,404272,Transportation,Marine Transportation
DKDCA,Data Knights Acquisition Corp. Class A Common Stock,$10.05,0.00,0.00%,150350764.00,United Kingdom,2021,1,,
DKDCU,Data Knights Acquisition Corp. Unit,$10.40,0.01,0.096%,0.00,United Kingdom,2021,5300,,
DKDCW,Data Knights Acquisition Corp. Warrant,$0.40,0.0002,0.05%,0.00,United Kingdom,2021,5230,,
DLNG,Dynagas LNG Partners LP Common Units,$3.04,-0.01,-0.328%,111878831.00,Greece,,15912,,
DLNG^A,Dynagas LNG Partners LP 9.00% Series A Cumulative Redeemable Preferred Units,$25.42,-0.03,-0.118%,,Greece,,1300,,
DLNG^B,Dynagas LNG Partners LP 8.75% Series B Fixed to Floating Rate Cumulative Redeemable Perpetual Preferred Units liquidation preference $25.00 per Uni,$24.95,0.0033,0.013%,,Greece,,4001,,
DOX,Amdocs Limited Ordinary Shares,$78.27,0.44,0.565%,9909373350.00,Guernsey,,25124,Technology,EDP Services
DSX,Diana Shipping inc. common stock,$5.615,0.015,0.268%,513969036.00,Greece,2005,182303,Transportation,Marine Transportation
DSX^B,Diana Shipping Inc. Perpetual Preferred Shares Series B (Marshall Islands),$26.202,0.00,0.00%,,Greece,,5,,
E,ENI S.p.A. Common Stock,$27.69,0.23,0.838%,49310328907.00,Italy,,56415,Energy,Oil & Gas Production
EBAC,European Biotech Acquisition Corp. Class A Ordinary Shares,$9.82,0.00,0.00%,161034016.00,Netherlands,2021,1,Finance,Business Services
EBACU,European Biotech Acquisition Corp. Units,$9.87,-0.07,-0.704%,0.00,Netherlands,2021,1000,Finance,Business Services
EBACW,European Biotech Acquisition Corp. Warrant,$0.5598,-0.0254,-4.34%,0.00,Netherlands,2021,2995,Finance,Business Services
EDAP,EDAP TMS S.A. American Depositary Shares,$6.01,0.01,0.167%,200410277.00,France,1997,3813,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EDRY,EuroDry Ltd. Common Shares ,$27.92,1.31,4.923%,64345270.00,Greece,,12627,Consumer Services,Marine Transportation
EDTX,EdtechX Holdings Acquisition Corp. II Class A common stock,$9.98,-0.02,-0.20%,143462500.00,United Kingdom,2021,503,,
ENDP,Endo International plc Ordinary Shares,$4.1724,0.1024,2.516%,974256568.00,Ireland,,2190322,Health Care,Biotechnology: Pharmaceutical Preparations
EQNR,Equinor ASA,$26.445,0.115,0.437%,85725669875.00,Norway,,693152,Energy,Integrated oil Companies
ERIC,Ericsson American Depositary Shares,$11.95,0.28,2.399%,39841300000.00,Sweden,,2350571,Technology,Computer Software: Prepackaged Software
ERYP,Erytech Pharma S.A. American Depositary Shares,$6.0881,-0.0919,-1.487%,169985974.00,France,2017,3293,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ESEA,Euroseas Ltd. Common Stock (Marshall Islands),$31.06,1.14,3.81%,173944045.00,Greece,,75684,Transportation,Marine Transportation
ETN,Eaton Corporation PLC Ordinary Shares,$153.98,0.42,0.274%,61404848551.00,Ireland,,117268,Capital Goods,Industrial Machinery/Components
EVAX,Evaxion Biotech A/S American Depositary Share,$8.74,0.29,3.432%,167796358.00,Denmark,2021,5916,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EXAI,Exscientia Plc American Depositary Shares,$24.50,0.45,1.871%,2949496862.00,United Kingdom,2021,39960,,
FMS,Fresenius Medical Care AG Common Stock,$35.37,0.48,1.376%,20725368698.00,Germany,,29083,Health Care,Medical/Nursing Services
FRLN,Freeline Therapeutics Holdings plc American Depositary Shares,$3.18,0.02,0.633%,113853031.00,United Kingdom,2020,5660,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FWP,Forward Pharma A/S American Depositary Shares,$6.23,0.00,0.00%,43727666.00,Denmark,2014,108,Health Care,Biotechnology: Pharmaceutical Preparations
GAMB,Gambling.com Group Limited Ordinary Shares,$9.01,0.22,2.503%,304595862.00,Jersey,2021,17907,,
GAN,GAN Limited Ordinary Shares,$14.17,0.14,0.998%,595390582.00,United Kingdom,2020,82750,Technology,Computer Software: Programming Data Processing
GASS,StealthGas Inc. Common Stock,$2.7701,0.0301,1.099%,105823862.00,Greece,2005,126489,Transportation,Marine Transportation
GBLI,Global Indemnity Group LLC Class A Common Stock (DE),$26.06,0.00,0.00%,376889701.00,Ireland,,2,Finance,Property-Casualty Insurers
GBLIL,Global Indemnity Group LLC 7.875% Subordinated Notes due 2047,$26.05,0.17,0.657%,0.00,Ireland,,4898,Finance,Property-Casualty Insurers
GDEV,Nexters Inc. Ordinary Shares,$9.23,0.21,2.328%,1813908222.00,Cyprus,,17559,,
GDEVW,Nexters Inc. Warrant,$0.98,0.05,5.376%,0.00,Cyprus,,2200,,
GHRS,GH Research PLC Ordinary Shares,$19.34,1.13,6.205%,1006083220.00,Ireland,2021,4057,,
GLBS,Globus Maritime Limited Common Stock,$3.0599,0.1099,3.725%,62954796.00,Greece,,190257,Transportation,Marine Transportation
GLPG,Galapagos NV American Depositary Shares,$50.13,0.32,0.642%,3285024966.00,Belgium,2015,24717,Health Care,Biotechnology: Pharmaceutical Preparations
GLTO,Galecto Inc. Common Stock,$3.38,0.00,0.00%,85384992.00,Denmark,2020,19279,Health Care,Biotechnology: Pharmaceutical Preparations
GMAB,Genmab A/S ADS,$42.39,-0.51,-1.189%,27715378084.00,Denmark,2019,94573,Health Care,Biotechnology: Commercial Physical & Biological Resarch
GNFT,GENFIT S.A. American Depositary Shares,$3.63,-0.04,-1.09%,166164158.00,France,2019,7958,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GRFS,Grifols S.A. American Depositary Shares,$14.06,-0.39,-2.699%,9667022006.00,Spain,,89877,Health Care,Biotechnology: Pharmaceutical Preparations
GRMN,Garmin Ltd. Common Stock (Switzerland),$155.50,0.04,0.026%,29906049697.00,Switzerland,2000,58298,Capital Goods,Industrial Machinery/Components
GRUB,Just Eat Takeaway.com N.V. American Depositary Shares,$14.87,-0.44,-2.874%,3161677244.00,Netherlands,,229014,,
GSK,GlaxoSmithKline PLC Common Stock,$38.505,-0.205,-0.53%,96873650166.00,United Kingdom,,894131,Health Care,Biotechnology: Pharmaceutical Preparations
GSL,Global Ship Lease Inc New Class A Common Shares,$21.86,0.38,1.769%,791699314.00,United Kingdom,,71742,Transportation,Marine Transportation
GSL^B,Global Ship Lease Inc. Depository Shares Representing 1/100th Perpetual Preferred Series B% (Marshall Island),$25.45,0.0273,0.107%,,United Kingdom,,2067,,
GSLD,Global Ship Lease Inc. 8.00% Senior Notes due 2024,$26.03,0.00,0.00%,0.00,United Kingdom,2019,35,Transportation,Marine Transportation
GSM,Ferroglobe PLC Ordinary Shares,$7.98,0.18,2.308%,1493220074.00,United Kingdom,,342671,Basic Industries,Precious Metals
GTX,Garrett Motion Inc. Common Stock,$7.335,0.025,0.342%,477231098.00,Switzerland,,13180,Capital Goods,Auto Parts:O.E.M.
GTXAP,Garrett Motion Inc. Series A Cumulative Convertible Preferred Stock,$8.1801,-0.0199,-0.243%,0.00,Switzerland,,1601,Capital Goods,Auto Parts:O.E.M.
HHR,HeadHunter Group PLC American Depositary Shares,$55.84,0.12,0.215%,2827498605.00,Cyprus,2019,8067,Technology,Professional Services
HSBC,HSBC Holdings plc. Common Stock,$29.13,0.66,2.318%,119005173254.00,United Kingdom,,846927,Finance,Savings Institutions
HZNP,Horizon Therapeutics Public Limited Company Ordinary Shares,$114.8085,1.0485,0.922%,25934479544.00,Ireland,2011,89129,Health Care,Biotechnology: Pharmaceutical Preparations
ICLR,ICON plc Ordinary Shares,$264.74,-0.52,-0.196%,21096115322.00,Ireland,1998,35579,Health Care,Biotechnology: Commercial Physical & Biological Resarch
IDBA,IDEX Biometrics ASA American Depositary Shares,$19.91,0.00,0.00%,244098491.00,Norway,,12,Miscellaneous,Diversified Manufacture
IFRX,InflaRx N.V. Common Stock,$2.74,0.05,1.859%,121070404.00,Germany,2017,251622,Health Care,Biotechnology: Pharmaceutical Preparations
IHG,Intercontinental Hotels Group American Depositary Shares (Each representing one Ordinary Share),$67.66,0.06,0.089%,12396415670.00,United Kingdom,,23976,Consumer Services,Hotels/Resorts
IIAC,Investindustrial Acquisition Corp. Class A Ordinary Shares,$9.96,0.00,0.00%,501112500.00,United Kingdom,2021,325,Finance,Business Services
