sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2021-10-29;526,39;501,99;518,14;513,39;5227;2683479;
2021-10-28;536,62;525,12;531,95;532,12;510;271379;
2021-10-27;559,27;545,22;549,97;552,14;117;64601;
2021-10-26;570,40;548,40;559,85;565,98;816;461838;
2021-10-25;566,10;548,35;550,70;556,40;417;232021;
2021-10-22;575,85;539,30;575,85;546,35;44;24039;
2021-10-21;542,67;532,02;539,17;537,71;526;282834;
2021-10-20;545,71;525,76;539,91;539,50;605;326396;
2021-10-19;549,41;540,16;549,41;543,63;111;60343;
2021-10-18;541,86;526,86;530,36;533,35;746;397880;
2021-10-15;537,36;519,51;535,91;530,51;946;501863;
2021-10-14;520,45;503,30;520,45;514,65;580;298497;
2021-10-13;506,20;457,85;506,20;481,33;2001;963131;
2021-10-12;468,10;429,05;466,00;450,36;911;410275;
2021-10-11;455,95;438,95;448,25;450,09;1515;681892;
2021-10-08;478,64;461,74;461,74;468,04;532;248997;
2021-10-07;482,74;461,99;482,74;469,51;329;154468;
2021-10-06;462,14;428,24;441,14;444,32;3919;1741282;
2021-10-05;477,14;447,24;475,79;461,29;1350;622736;
2021-10-04;476,09;451,84;455,71;461,71;612;282568;
2021-10-01;475,44;439,39;466,44;455,24;3845;1750408;
2021-09-30;495,33;459,63;468,48;474,30;1786;847095;
2021-09-29;492,81;470,16;470,36;479,42;861;412783;
2021-09-28;509,86;469,93;469,93;492,07;1268;623948;
2021-09-27;552,89;524,31;527,31;534,67;149;79666;
2021-09-24;541,26;529,01;535,51;535,57;1183;633583;
2021-09-23;557,91;543,81;556,16;552,95;215;118885;
2021-09-22;520,40;504,15;520,40;514,26;151;77654;
2021-09-21;514,20;494,70;494,70;499,84;340;169946;
2021-09-20;515,30;479,90;482,20;496,96;5960;2961878;
2021-09-17;579,40;540,90;543,55;556,56;76;42299;
2021-09-16;568,19;552,29;568,19;559,55;4584;2564983;
2021-09-15;554,64;539,94;546,44;546,58;380;207702;
2021-09-14;567,64;546,74;567,64;555,34;913;507029;
2021-09-13;576,84;557,79;557,79;563,00;430;242092;
2021-09-10;580,68;570,68;575,48;576,80;65;37492;
2021-09-09;588,13;549,48;566,93;571,27;11199;6397626;
2021-09-08;578,63;565,63;565,98;572,42;1114;637675;
2021-09-07;;;618,45;;;;
2021-09-06;618,45;609,95;618,45;613,07;31;19005;
2021-09-03;608,14;607,29;607,64;607,83;46;27960;
2021-09-02;607,24;602,49;604,49;604,13;40;24165;
2021-09-01;592,19;581,24;581,24;588,03;14;8232;
2021-08-31;584,93;569,93;581,28;578,50;485;280574;
2021-08-30;;;594,93;;;;
2021-08-27;595,68;593,18;594,93;594,89;300;178467;
2021-08-26;596,57;587,82;596,07;594,19;284;168750;
2021-08-25;;;591,57;;;;
2021-08-24;601,32;589,07;591,57;595,70;338;201346;
2021-08-23;600,74;579,87;590,82;585,69;752;440440;
2021-08-20;587,96;544,96;585,41;557,61;840;468394;
2021-08-19;573,51;540,11;559,16;555,97;784;435879;
2021-08-18;599,81;596,81;596,81;598,31;100;59831;
2021-08-17;600,41;590,76;600,41;593,89;462;274378;
2021-08-16;619,75;595,10;598,30;600,34;1001;600943;
2021-08-13;;;597,01;;;;
2021-08-12;;;597,01;;;;
2021-08-11;;;597,01;;;;
2021-08-10;;;597,01;;;;
2021-08-09;;;597,01;;;;
2021-08-06;;;597,01;;;;
2021-08-05;;;597,01;;;;
2021-08-04;;;597,01;;;;
2021-08-03;603,51;597,01;597,01;600,26;36;21609;
