sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2021-10-29;151,73;139,33;139,33;142,82;13321;1902533;
2021-10-28;136,11;120,84;125,31;128,35;9510;1220599;
2021-10-27;117,12;102,47;115,12;110,02;16187;1780921;
2021-10-26;100,94;90,29;99,29;96,31;523;50368;
2021-10-25;109,94;96,69;109,94;108,23;6277;679346;
2021-10-22;119,40;93,50;93,55;99,15;18625;1846669;
2021-10-21;134,96;116,48;116,48;122,05;3594;438652;
2021-10-20;136,44;121,49;123,19;130,36;558;72744;
2021-10-19;127,29;117,04;118,29;124,44;6214;773268;
2021-10-18;140,07;124,89;133,79;131,86;25654;3382755;
2021-10-15;143,36;134,11;134,11;139,51;707;98635;
2021-10-14;159,76;152,26;153,76;155,77;44;6854;
2021-10-13;210,56;180,91;180,91;193,31;88;17012;
2021-10-12;236,27;191,57;191,57;233,84;812;189874;
2021-10-11;217,07;214,57;215,07;215,52;1260;271549;
2021-10-08;;;192,94;;;;
2021-10-07;202,14;192,94;192,94;196,72;732;143998;
2021-10-06;237,29;206,77;220,67;218,74;7022;1535964;
2021-10-05;218,00;194,60;194,60;201,71;1860;375180;
2021-10-04;217,40;195,90;213,17;208,98;3306;690898;
2021-10-01;235,99;191,24;191,69;214,48;11330;2430025;
2021-09-30;200,39;184,44;200,39;191,89;253;48549;
2021-09-29;201,30;189,80;200,55;197,74;4224;835233;
2021-09-28;204,70;158,98;204,55;176,19;4933;869131;
2021-09-27;154,40;126,70;151,75;145,50;1523;221603;
2021-09-24;145,01;126,49;143,14;140,07;12331;1727222;
2021-09-23;140,92;116,72;117,47;127,53;18847;2403647;
2021-09-22;173,57;151,82;154,57;162,83;17091;2782842;
2021-09-21;178,78;164,88;178,78;168,24;3550;597269;
2021-09-20;199,73;162,26;184,98;180,15;13645;2458174;
2021-09-17;140,32;99,85;140,05;122,58;24782;3037770;
2021-09-16;128,05;105,70;110,85;118,66;29582;3510179;
2021-09-15;141,51;119,31;133,51;129,68;11768;1526043;
2021-09-14;134,06;113,86;113,86;124,89;23919;2987233;
2021-09-13;124,32;102,97;123,32;114,08;26500;3023018;
2021-09-10;112,03;98,78;110,63;104,35;9961;1039467;
2021-09-09;133,14;93,69;115,66;110,97;49773;5523490;
2021-09-08;119,44;102,64;116,74;112,23;15855;1779395;
2021-09-07;91,62;69,12;82,37;81,76;44631;3648998;
2021-09-06;84,37;63,85;67,44;68,80;63001;4334327;
2021-09-03;92,74;70,34;89,89;80,91;85683;6932322;
2021-09-02;100,47;72,84;78,34;80,49;55602;4475376;
2021-09-01;105,45;88,55;93,65;94,76;67186;6366531;
2021-08-31;114,00;83,75;104,75;104,38;115553;12061465;
2021-08-30;96,11;84,76;87,61;91,83;34405;3159274;
2021-08-27;100,02;86,97;86,97;94,25;80661;7602166;
2021-08-26;101,48;89,98;93,08;95,34;15960;1521583;
2021-08-25;102,18;89,46;90,18;94,15;34682;3265444;
2021-08-24;106,94;90,44;95,84;103,26;26806;2767922;
2021-08-23;106,54;86,09;94,54;100,64;30192;3038587;
2021-08-20;145,84;100,96;102,01;125,25;115494;14465781;
2021-08-19;150,67;116,14;132,54;130,95;51231;6708790;
2021-08-18;98,07;73,32;94,62;85,24;15509;1321997;
2021-08-17;102,95;80,08;90,23;94,50;33025;3121010;
2021-08-16;96,23;71,11;92,73;84,36;32853;2771544;
2021-08-13;63,05;55,95;57,40;58,86;20690;1217749;
2021-08-12;71,56;59,66;62,30;66,06;23695;1565288;
2021-08-11;78,93;60,93;60,93;69,42;22282;1546782;
2021-08-10;82,89;74,00;76,19;77,72;19066;1481817;
