,Long,Short
2021-02-01,"200,44","575,98"
2021-02-02,"217,62","575,98"
2021-02-03,"229,21","575,98"
2021-02-04,"235,62","575,98"
2021-02-05,"216,73","575,98"
2021-02-08,"227,77","575,98"
2021-02-09,"224,18","549,88"
2021-02-10,"223,16","549,88"
2021-02-11,"232,29","549,88"
2021-02-12,"249,59","527,60"
2021-02-15,"262,10","527,60"
2021-02-16,"263,10","527,60"
2021-02-17,"246,00","527,60"
2021-02-18,"243,95","522,93"
2021-02-19,"261,55","522,93"
2021-02-22,"256,40","522,93"
2021-02-23,"240,40","522,93"
2021-02-24,"265,06","516,22"
2021-02-25,"251,20","518,79"
2021-02-26,"243,91","521,63"
2021-03-01,"276,31","484,94"
2021-03-02,"294,31","467,08"
2021-03-03,"289,02","467,08"
2021-03-04,"272,17","474,56"
2021-03-05,"276,92","488,50"
2021-03-08,"332,73","488,50"
2021-03-09,"349,43","488,50"
2021-03-10,"355,13","488,50"
2021-03-11,"385,83","488,50"
2021-03-12,"379,78","488,50"
2021-03-15,"386,59","350,39"
2021-03-16,"400,54","350,39"
2021-03-17,"395,04","353,41"
2021-03-18,"400,00","352,65"
2021-03-19,"386,75","352,65"
2021-03-22,"398,05","360,91"
2021-03-23,"393,00","367,60"
2021-03-24,"393,00","360,94"
2021-03-25,"394,17","358,64"
2021-03-26,"423,21","358,64"
2021-03-29,"413,97","328,93"
2021-03-30,"425,47","328,93"
2021-03-31,"424,47","328,93"
2021-04-01,"431,12","328,93"
2021-04-06,"462,04","328,93"
2021-04-07,"456,99","328,93"
2021-04-08,"473,44","266,00"
2021-04-09,"476,15","266,00"
2021-04-12,"469,20","266,00"
2021-04-13,"475,27","266,00"
2021-04-14,"463,03","266,00"
2021-04-15,"474,82","249,93"
2021-04-16,"504,84","227,46"
2021-04-19,"490,71","240,19"
2021-04-20,"433,87","240,19"
2021-04-21,"461,04","278,71"
2021-04-22,"456,89","278,71"
2021-04-23,"470,06","274,22"
2021-04-26,"478,72","274,22"
2021-04-27,"479,23","236,94"
2021-04-28,"472,12","259,10"
2021-04-29,"471,81","263,40"
2021-04-30,"459,95","258,45"
2021-05-03,"470,01","260,05"
2021-05-04,"433,61","260,05"
2021-05-05,"479,99","257,46"
2021-05-06,"488,44","257,46"
2021-05-07,"486,09","229,57"
2021-05-10,"493,50","230,70"
2021-05-11,"435,10","276,60"
2021-05-12,"451,61","276,60"
2021-05-14,"478,31","240,47"
2021-05-17,"469,62","253,95"
2021-05-18,"484,07","235,79"
2021-05-19,"444,48","267,09"
2021-05-20,"473,83","267,09"
2021-05-21,"477,03","267,09"
2021-05-24,"478,04","244,30"
2021-05-25,"478,04","244,30"
2021-05-26,"464,05","250,09"
2021-05-27,"486,73","239,91"
2021-05-28,"492,24","229,96"
2021-05-31,"486,30","224,69"
2021-06-01,"486,30","224,69"
2021-06-02,"503,30","224,69"
2021-06-03,"503,71","224,69"
2021-06-04,"503,61","224,69"
