sep=;
Date;Highprice;Lowprice;Closingprice;Averageprice;Totalvolume;Turnover;
2021-10-26;222.06;195.81;214.06;212.93;23,718;5,050,387;
2021-10-25;226.57;197.74;199.84;205.33;19,196;3,941,428;
2021-10-22;220.62;187.32;220.62;201.84;5,908;1,192,443;
2021-10-21;196.72;177.97;194.87;188.52;24,930;4,699,773;
2021-10-20;195.25;175.35;194.10;185.15;35,750;6,619,209;
2021-10-19;199.98;184.78;199.98;192.70;6,372;1,227,889;
2021-10-18;192.01;174.11;179.91;183.14;16,899;3,094,897;
2021-10-15;188.24;169.74;183.99;179.19;17,425;3,122,392;
2021-10-14;169.26;153.46;166.91;162.40;36,015;5,848,754;
2021-10-13;153.19;107.14;152.84;130.60;69,674;9,099,501;
2021-10-12;127.92;77.22;124.27;103.75;167,788;17,407,852;
2021-10-11;107.10;86.80;98.05;97.80;140,389;13,729,906;
2021-10-08;128.83;106.83;109.38;117.12;181,243;21,227,183;
2021-10-07;133.81;109.96;133.71;120.36;158,531;19,081,160;
2021-10-06;111.23;76.73;101.16;89.96;144,965;13,041,021;
2021-10-05;127.21;97.04;126.96;107.82;172,904;18,643,053;
2021-10-04;125.89;101.79;104.21;112.10;122,692;13,753,912;
2021-10-01;134.93;87.78;132.18;115.34;188,570;21,750,118;
2021-09-30;145.85;109.80;118.10;129.98;125,407;16,300,174;
2021-09-29;143.26;119.26;121.66;128.86;61,340;7,904,199;
2021-09-28;168.96;119.46;123.11;144.06;35,644;5,134,886;
2021-09-27;202.89;170.52;173.37;182.13;29,934;5,452,010;
2021-09-24;204.88;177.60;182.53;184.94;19,383;3,584,669;
2021-09-23;211.23;185.20;211.23;198.95;8,795;1,749,795;
2021-09-22;175.91;154.56;175.91;161.92;8,898;1,440,733;
2021-09-21;163.38;144.88;150.23;153.76;11,471;1,763,827;
2021-09-20;168.61;127.61;133.66;148.20;97,384;14,431,822;
2021-09-17;227.44;189.99;190.64;211.74;9,965;2,109,969;
2021-09-16;220.77;210.57;219.17;215.54;190;40,953;
2021-09-15;205.80;195.05;198.55;200.20;2,402;480,878;
2021-09-14;211.88;197.13;211.88;204.93;2,364;484,451;
2021-09-13;226.75;211.25;211.25;220.42;230;50,697;
2021-09-10;;;236.66;;;;
2021-09-09;239.91;206.49;236.66;236.50;2,282;539,703;
2021-09-08;225.29;215.44;219.54;219.05;324;70,972;
2021-09-07;;;252.09;;;;
2021-09-06;252.09;252.09;252.09;252.09;163;41,091;
2021-09-03;262.35;243.35;250.10;245.31;193;47,345;
2021-09-02;253.22;253.22;253.22;253.22;20;5,064;
2021-09-01;245.20;232.00;232.00;243.67;438;106,727;
2021-08-31;239.83;221.33;232.08;226.62;27,898;6,322,146;
2021-08-30;249.85;240.20;249.85;244.38;400;97,753;
