Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AA,Alcoa Corporation Common Stock ,$47.35,1.32,2.868%,8848112487.00,,2016,4772112,Basic Industries,Metal Fabrications
ACH,Aluminum Corporation of China Limited American Depositary Shares,$17.66,-0.35,-1.943%,12024816172.00,China,2001,111209,Basic Industries,Aluminum
ADES,Advanced Emissions Solutions Inc. Common Stock,$6.33,0.02,0.317%,119341313.00,United States,,72850,Basic Industries,Industrial Specialties
AIN,Albany International Corporation Common Stock,$80.39,-0.80,-0.985%,2603082624.00,United States,,25795,Basic Industries,Textiles
ALAC,Alberton Acquisition Corporation Ordinary Shares,$11.42,0.00,0.00%,51163530.00,Hong Kong,2018,38204,Basic Industries,Engineering & Construction
ALACR,Alberton Acquisition Corporation Rights exp April 26 2021,$0.49,0.0033,0.678%,0.00,Hong Kong,2018,8760,Basic Industries,Engineering & Construction
ALACW,Alberton Acquisition Corporation Warrant,$0.3774,-0.0088,-2.279%,0.00,Hong Kong,2018,18770,Basic Industries,Engineering & Construction
ALB,Albemarle Corporation Common Stock,$214.70,-0.36,-0.167%,25109136445.00,United States,,496735,Basic Industries,Industrial Specialties
ALTO,Alto Ingredients Inc. Common Stock,$5.485,0.085,1.574%,399348913.00,United States,,611560,Basic Industries,Industrial Specialties
AMCR,Amcor plc Ordinary Shares,$11.685,-0.025,-0.213%,17936951573.00,,2019,1038655,Basic Industries,Containers/Packaging
AMRC,Ameresco Inc. Class A Common Stock,$57.64,-0.78,-1.335%,2962033601.00,United States,2010,136592,Basic Industries,Water Supply
AMRS,Amyris Inc. Common Stock,$12.19,0.22,1.838%,3697430561.00,United States,2010,2362768,Basic Industries,Industrial Specialties
APD,Air Products and Chemicals Inc. Common Stock,$268.64,3.21,1.209%,59467402262.00,United States,,651757,Basic Industries,Major Chemicals
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),$2.94,0.00,0.00%,40629827.00,Taiwan,,2600,Basic Industries,Telecommunications Equipment
ASA,ASA  Gold and Precious Metals Limited,$19.71,-0.18,-0.905%,380204028.00,United States,,24581,Basic Industries,Precious Metals
ASH,Ashland Global Holdings Inc. Common Stock,$93.21,0.61,0.659%,5660955740.00,United States,,175432,Basic Industries,Specialty Chemicals
ASIX,AdvanSix Inc. Common Stock ,$45.28,1.07,2.42%,1273209619.00,United States,2016,180818,Basic Industries,Major Chemicals
ATC,Atotech Limited Common Shares,$23.83,0.11,0.464%,4639601677.00,,2021,70989,Basic Industries,Major Chemicals
ATI,Allegheny Technologies Incorporated Common Stock,$17.135,0.185,1.091%,2180353904.00,United States,,522921,Basic Industries,Steel/Iron Ore
AU,AngloGold Ashanti Limited Common Stock,$17.835,0.065,0.366%,7443354139.00,South Africa,,1276468,Basic Industries,Precious Metals
AUMN,Golden Minerals Company Common Stock,$0.4444,0.004,0.908%,72350370.00,United States,,176022,Basic Industries,Metal Mining
AVD,American Vanguard Corporation Common Stock ($0.10 Par Value),$15.19,0.05,0.33%,469039873.00,United States,,73946,Basic Industries,Agricultural Chemicals
AVNT,Avient Corporation Common Stock,$48.14,-0.01,-0.021%,4395054814.00,United States,,68810,Basic Industries,Major Chemicals
AVTR,Avantor Inc. Common Stock,$40.56,-0.02,-0.049%,24659374050.00,,2019,650816,Basic Industries,Industrial Specialties
AXTA,Axalta Coating Systems Ltd. Common Shares,$30.72,0.10,0.327%,7070543401.00,United States,2014,706473,Basic Industries,Paints/Coatings
BAK,Braskem SA ADR,$20.36,-0.60,-2.863%,8103954649.00,Brazil,,108980,Basic Industries,Major Chemicals
BCPC,Balchem Corporation Common Stock,$153.525,0.635,0.415%,4969686386.00,United States,,73294,Basic Industries,Industrial Specialties
BDC,Belden Inc Common Stock,$60.60,1.32,2.227%,2718119131.00,United States,,203648,Basic Industries,Telecommunications Equipment
BG,Bunge Limited Bunge Limited,$84.89,0.53,0.628%,12030349254.00,United States,2001,421784,Basic Industries,Agricultural Chemicals
BHP,BHP Group Limited American Depositary Shares (Each representing two Ordinary Shares),$56.015,0.955,1.734%,141758279344.00,Australia,,2772994,Basic Industries,Precious Metals
BIOX,Bioceres Crop Solutions Corp. Ordinary Shares,$13.4736,-0.0264,-0.196%,553820027.00,Argentina,,2802,Basic Industries,Agricultural Chemicals
BRCN,Burcon NutraScience Corp. Common Stock,$1.58,0.01,0.637%,171416760.00,Canada,,54416,Basic Industries,Precious Metals
BTB,Bit Brother Limited Ordinary Shares,$0.9097,-0.0002,-0.022%,7226849.00,China,,392441,Basic Industries,Major Chemicals
BVN,Buenaventura Mining Company Inc.,$7.58,-0.12,-1.558%,1925220452.00,Peru,1996,725225,Basic Industries,Precious Metals
CBT,Cabot Corporation Common Stock,$52.11,0.34,0.657%,2955863513.00,United States,,51104,Basic Industries,Specialty Chemicals
CC,Chemours Company (The) Common Stock,$31.47,0.33,1.06%,5197701293.00,United States,2015,506740,Basic Industries,Industrial Specialties
CCF,Chase Corporation Common Stock,$101.25,-0.28,-0.276%,956736360.00,United States,,1896,Basic Industries,Paints/Coatings
CDE,Coeur Mining Inc. Common Stock,$6.2516,0.0516,0.832%,1606822354.00,United States,,1783658,Basic Industries,Precious Metals
CE,Celanese Corporation Celanese Corporation Common Stock,$159.71,0.64,0.402%,17746247242.00,United States,2005,210787,Basic Industries,Major Chemicals
CENX,Century Aluminum Company Common Stock,$16.2433,1.8933,13.194%,1463994302.00,United States,1996,1997532,Basic Industries,Aluminum
CF,CF Industries Holdings Inc. Common Stock,$62.11,1.05,1.72%,13359858950.00,United States,2005,2157049,Basic Industries,Agricultural Chemicals
CGA,China Green Agriculture Inc. Common Stock,$9.102,0.542,6.332%,77254399.00,China,,9879,Basic Industries,Agricultural Chemicals
CHNR,China Natural Resources Inc. Common Stock,$1.2614,0.0014,0.111%,51651911.00,Hong Kong,,61619,Basic Industries,Precious Metals
CINR,Ciner Resources LP Common Units representing Limited Partner Interests,$15.8999,0.6199,4.057%,314490291.00,,2013,11063,Basic Industries,Specialty Chemicals
CLW,Clearwater Paper Corporation Common Stock,$39.40,0.71,1.835%,657480723.00,United States,,62143,Basic Industries,Paper
CMC,Commercial Metals Company Common Stock,$32.26,0.41,1.287%,3890123361.00,United States,,446691,Basic Industries,Steel/Iron Ore
CMCL,Caledonia Mining Corporation Plc Common Shares,$12.60,0.13,1.043%,152697170.00,Canada,,15000,Basic Industries,Precious Metals
