Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,1818579,500,24.88,600,24.87,24.87,1775417,43162
VXX,1578864,635,28.08,1100,28.07,28.07,1554283,24581
IEFA,369246,4800,73.81,4600,73.80,73.80,327569,41677
VIXY,357189,31,22.96,1300,22.95,22.96,352533,4656
JPST,351547,28048,50.70,194508,50.69,50.70,351537,10
ARKG,264841,100,73.45,100,73.44,73.44,264060,781
EZU,243155,7300,47.96,4700,47.95,47.95,242754,401
USMV,196670,500,73.02,2300,73.01,73.02,193541,3129
EFV,187815,3600,50.59,2700,50.58,50.63,143293,44522
ITB,148696,800,65.82,400,65.80,65.78,145779,2917
SVXY,148137,400,54.13,208,54.11,54.12,143892,4245
RSX,140753,2500,30.28,6650,30.27,30.27,137100,3653
MTUM,140679,375,174.26,375,174.23,174.21,139829,850
INDA,134234,2000,48.82,900,48.81,48.82,133931,303
IGV,118846,25,398.26,1,398.10,398.06,113142,5704
QUAL,113920,500,131.02,500,130.99,130.97,94917,19003
PAVE,96154,600,25.32,4019,25.31,25.33,94861,1293
FLOT,83325,2522,50.81,10479,50.80,50.80,35025,48300
GOVT,59022,170450,26.56,156600,26.55,26.56,58971,51
ICSH,48114,18872,50.49,17051,50.48,50.49,48014,100
VLUE,45486,1600,100.18,400,100.16,100.15,45368,118
USHY,42258,6100,41.31,2500,41.30,41.30,42168,90
FGRO,38093,1000,20.67,1000,20.66,20.67,38093,0
ECH,35609,200,26.18,100,26.17,26.17,35309,300
ARKQ,31640,200,77.09,200,77.03,77.08,31638,2
NOBL,29277,1100,88.00,500,87.96,87.95,28877,400
POCT,28909,3400,29.28,500,29.22,29.25,28909,0
ARKX,28448,3700,19.45,576,19.44,19.45,27834,614
RYLD,26071,1300,24.82,1460,24.80,24.82,26071,0
HYD,25421,400,62.42,939,62.41,62.42,25031,390
REM,24070,300,36.17,900,36.16,36.16,24070,0
EFAV,22076,600,74.96,600,74.93,75.00,22076,0
CNYA,22037,200,41.92,1000,41.87,41.93,18418,3619
BBJP,20546,3100,58.01,1000,57.95,57.99,19571,975
IGE,20379,5100,29.40,200,29.39,29.39,20378,1
EFG,20077,600,105.97,800,105.90,105.93,19877,200
TAIL,19055,2,18.84,1400,18.80,18.81,19055,0
IDV,18492,1305,30.32,901,30.31,30.34,17791,701
PBUS,18170,1500,43.73,300,43.62,43.68,18170,0
FBCG,16394,200,32.29,100,32.24,32.27,16394,0
ESGV,15390,400,79.66,507,79.60,79.65,15390,0
VNM,14959,200,19.10,100,19.07,19.08,14476,483
BOCT,14873,3400,32.58,1000,32.53,32.54,14873,0
BBEU,13166,800,56.93,1100,56.90,56.97,12666,500
MOAT,13076,300,73.25,800,73.23,73.32,12875,201
ITA,12963,500,104.40,1300,104.30,104.31,12963,0
PICK,12698,400,40.65,300,40.53,40.66,11357,1341
CALF,12509,1200,42.22,700,42.17,42.25,12509,0
NEAR,11928,10367,50.11,17092,50.10,50.10,11928,0
BUFR,11766,2900,22.95,200,22.90,23.04,11766,0
IEO,11381,1300,58.60,1300,58.54,58.84,11381,0
SLVP,10803,400,12.26,1500,12.23,12.24,10803,0
ICVT,10359,600,99.68,600,99.61,99.64,10359,0
VUSB,10294,2499,50.13,2907,50.12,50.12,8894,1400
BBAX,9741,1000,54.03,1000,53.99,54.07,9541,200
ITM,9515,300,51.19,2300,51.18,51.18,8915,600
IQDG,9455,100,37.94,2000,37.93,37.98,8455,1000
KJAN,9128,1000,31.12,200,30.92,31.10,9128,0
IFRA,8954,300,34.07,500,34.02,34.08,8954,0
BBUS,8757,2600,78.43,300,78.39,78.45,8757,0
BALT,7412,300,25.73,400,25.69,25.70,7412,0
IYLD,7368,18700,24.00,1000,23.97,23.99,7368,0
HEFA,7212,2000,34.12,1400,34.11,34.12,7005,207
SMIN,7004,392,60.81,700,60.56,60.77,7004,0
IAGG,6824,1000,55.13,1000,55.12,55.12,6650,174
COWZ,6649,2500,43.52,2700,43.49,43.50,6649,0
BBCA,6581,1000,62.65,1000,62.62,62.79,6581,0
XDOC,6548,3500,23.99,3500,23.90,24.02,6548,0
CBOE,5842,107,123.31,7,123.15,123.19,5842,0
DRSK,5686,3000,28.98,700,28.94,29.05,5686,0
BUFD,5606,200,20.77,5000,20.68,20.75,5606,0
PRNT,5537,1000,35.35,4,35.23,35.27,5537,0
GTIP,5486,2600,57.74,800,57.71,57.73,5114,372
SMMV,5451,500,36.90,700,36.82,37.01,5451,0
QTOC,5351,200,24.24,425,24.21,24.21,5351,0
IGHG,5189,400,75.61,400,75.38,75.51,5189,0
BBIN,5187,9000,58.55,900,58.51,58.50,5099,88
USEP,5014,300,27.73,1000,27.70,27.75,5014,0
IYZ,5003,3300,32.40,600,32.38,32.41,3903,1100
NULV,4591,600,37.37,700,37.34,37.45,4591,0
FLBL,4510,1300,25.07,600,25.02,25.15,4510,0
EEMV,4351,300,62.38,300,62.31,62.36,4351,0
ACWV,4313,1200,102.16,1000,102.11,102.17,4313,0
XBOC,4273,3500,24.01,1000,23.98,24.03,4273,0
PSEP,4100,300,28.98,100,28.96,28.98,4100,0
DINT,3912,900,19.51,500,19.43,19.47,3912,0
NULG,3789,400,65.20,100,65.13,65.41,3789,0
EMHY,3771,847,44.12,800,44.10,44.12,3749,22
TSOC,3525,300,30.36,300,30.22,30.61,3525,0
FDG,3506,1000,81.54,6900,81.39,81.58,3506,0
IYJ,3486,200,106.99,600,106.92,107.17,3286,200
JEMA,3485,1000,46.83,100,46.67,47.19,3485,0
PTNQ,3337,700,55.45,700,55.41,55.50,3287,50
FBCV,3151,200,27.78,65,27.74,27.75,3151,0
VSGX,3067,1000,61.33,811,61.25,61.31,3067,0
TMFC,3057,1200,39.63,100,39.56,39.63,3057,0
LUXE,2886,1394,29.31,1,29.22,29.23,2886,0
UOCT,2858,3400,27.82,3000,27.72,27.84,2858,0
OGIG,2856,900,52.60,400,52.49,52.40,2856,0
FLQL,2844,100,41.89,1600,41.84,41.90,2844,0
XVV,2696,1500,32.93,1,32.90,32.94,2696,0
ICF,2658,1000,65.43,1001,65.38,65.45,2658,0
SMDV,2651,500,61.69,700,61.63,61.60,2651,0
XTOC,2534,200,24.05,425,24.03,24.05,2534,0
CEMB,2479,200,51.81,700,51.80,51.86,2479,0
IEIH,2382,400,34.27,400,34.21,34.20,2382,0
SYLD,2381,300,59.93,300,59.84,60.00,2381,0
OMFL,2364,600,46.12,800,46.08,46.21,2364,0
IETC,2332,500,55.55,200,55.50,55.49,2332,0
EGIS,2257,1200,32.73,1200,32.70,32.77,2257,0
AFIF,2202,2100,9.67,2200,9.65,9.66,2202,0
TOKE,1995,409,13.74,49,13.69,13.74,1995,0
NUSC,1964,400,43.34,300,43.26,43.69,1964,0
MOTI,1933,800,33.44,700,33.32,33.52,1901,32
CEFS,1908,300,21.35,100,21.21,21.38,1908,0
EOPS,1900,1600,26.57,1600,26.48,26.59,1900,0
XMPT,1896,300,29.16,170,29.08,29.17,1896,0
OCTZ,1866,1000,30.23,1000,30.10,30.26,1866,0
PAWZ,1851,700,77.45,400,77.35,77.34,1851,0
TSJA,1780,300,28.62,300,28.53,28.81,1780,0
PSMB,1749,400,16.49,400,16.39,16.44,1749,0
IYT,1703,261,243.83,48,243.63,243.70,1703,0
IEHS,1641,300,41.41,300,41.36,41.40,1641,0
IEDI,1629,300,43.79,1,43.77,43.88,1629,0
KWT,1602,100,34.06,100,33.87,34.14,502,1100
DSEP,1601,5400,32.02,5000,31.89,31.95,1601,0
EMGF,1566,600,51.26,600,51.17,51.40,530,1036
OUSA,1558,400,41.42,800,41.40,41.44,1558,0
IVRA,1545,1000,14.11,1000,14.02,14.15,1545,0
FJAN,1517,300,32.99,500,32.91,33.09,1517,0
DFNL,1497,1400,30.42,300,30.38,30.53,1497,0
PTLC,1494,300,37.60,1700,37.58,37.63,1494,0
EDEN,1486,1300,106.57,2,106.56,106.55,1486,0
FPRO,1481,1000,23.72,1000,23.71,23.72,1481,0
DIVB,1478,600,39.10,302,39.07,39.10,1477,1
IBML,1477,768,26.02,100,26.00,26.01,1477,0
FSEP,1444,400,33.85,2500,33.75,33.93,1444,0
RSXJ,1409,200,38.43,200,36.68,37.45,1309,100
JCPB,1407,600,54.55,605,54.41,54.42,1407,0
KOCT,1370,441,26.95,93,26.89,26.94,1370,0
FCTR,1356,1100,33.67,1800,33.60,33.68,1356,0
ESML,1348,200,38.89,50,38.83,39.14,1348,0
OILK,1296,1200,58.95,300,58.90,59.09,1296,0
XDSQ,1291,4500,26.99,3500,26.86,26.99,1291,0
FAIL,1251,500,23.44,500,23.09,23.19,1251,0
JMUB,1250,700,54.88,700,54.86,54.87,1250,0
MEAR,1240,260,50.16,650,50.12,50.14,1240,0
GVI,1234,200,115.33,100,115.17,115.20,1234,0
QVAL,1231,300,33.86,700,33.81,33.90,1231,0
NUEM,1223,1200,33.68,300,33.56,33.72,1223,0
KNG,1213,500,51.50,1000,51.40,51.69,1213,0
AVDR,1200,1800,29.13,100,29.07,29.27,1200,0
PSMG,1167,800,18.08,400,18.01,18.05,1167,0
IZRL,1142,518,29.03,839,29.00,29.02,1142,0
GVAL,1135,900,23.48,100,23.42,23.39,1135,0
VFMV,1114,500,97.10,500,96.99,97.45,1114,0
VOTE,1113,1000,50.73,1000,50.70,50.75,987,126
IBHG,1050,2050,24.89,2000,24.83,24.88,0,1050
REGL,1035,500,67.49,100,67.43,67.61,1035,0
HEEM,1021,1000,30.19,1000,30.12,30.23,1021,0
SHYD,1003,200,25.09,99,25.05,25.13,1003,0
KJUL,1000,400,26.07,200,26.00,26.19,1000,0
BUFF,980,500,34.87,400,34.80,35.01,980,0
BJUL,962,1800,31.49,500,31.41,31.54,962,0
DWLD,952,1663,29.55,300,29.49,29.55,952,0
EPRF,948,800,24.12,400,24.07,24.11,948,0
IGRO,942,500,65.04,36,64.75,65.00,942,0
DJAN,940,300,31.66,300,31.58,31.58,940,0
