sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2021-10-29;83,51;82,30;83,33;83,02;860013;71401026;
2021-10-28;84,48;84,29;84,47;84,44;100023;8446339;
2021-10-27;84,95;84,67;84,67;84,81;28;2375;
2021-10-26;;;83,68;;;;
2021-10-25;83,68;83,32;83,68;83,53;58;4845;
2021-10-22;;;82,69;;;;
2021-10-21;82,69;82,10;82,69;82,33;100015;8233740;
2021-10-20;83,55;83,15;83,15;83,35;90;7501;
2021-10-19;;;81,72;;;;
2021-10-18;;;81,72;;;;
2021-10-15;;;81,72;;;;
2021-10-14;81,72;81,42;81,72;81,60;33;2693;
2021-10-13;80,40;80,19;80,40;80,27;100000;8027100;
2021-10-12;;;79,33;;;;
2021-10-11;;;79,33;;;;
2021-10-08;;;79,33;;;;
2021-10-07;;;79,33;;;;
2021-10-06;80,05;77,51;79,33;78,52;960740;75440574;
2021-10-05;80,90;80,90;80,90;80,90;38;3074;
2021-10-04;80,63;79,75;80,63;80,03;590888;47290455;
2021-10-01;81,58;79,24;80,60;80,37;1602161;128762330;
2021-09-30;83,58;81,25;81,67;81,74;902400;73762844;
2021-09-29;83,31;82,70;83,31;82,92;150096;12446139;
2021-09-28;84,26;82,11;82,15;82,28;630025;51837307;
2021-09-27;;;83,58;;;;
2021-09-24;;;83,58;;;;
2021-09-23;;;83,58;;;;
2021-09-22;83,58;83,24;83,58;83,31;100000;8331310;
2021-09-21;82,82;81,51;82,82;82,10;401648;32976771;
2021-09-20;82,65;79,91;80,45;81,33;474473;38590950;
2021-09-17;;;86,42;;;;
2021-09-16;;;86,42;;;;
2021-09-15;86,42;86,02;86,42;86,30;18000;1553480;
2021-09-14;;;86,45;;;;
2021-09-13;86,45;86,45;86,45;86,45;120;10374;
2021-09-10;;;86,32;;;;
2021-09-09;86,32;85,24;86,32;85,81;22120;1898176;
2021-09-08;87,04;85,61;85,94;85,86;371800;31922507;
2021-09-07;;;86,83;;;;
2021-09-06;;;86,83;;;;
2021-09-03;;;86,83;;;;
2021-09-02;;;86,83;;;;
2021-09-01;;;86,83;;;;
2021-08-31;;;86,83;;;;
2021-08-30;;;86,83;;;;
2021-08-27;;;86,83;;;;
2021-08-26;;;86,83;;;;
2021-08-25;;;86,83;;;;
2021-08-24;;;86,83;;;;
2021-08-23;;;86,83;;;;
2021-08-20;;;86,83;;;;
2021-08-19;;;86,83;;;;
2021-08-18;;;86,83;;;;
2021-08-17;;;86,83;;;;
2021-08-16;;;86,83;;;;
2021-08-13;;;86,83;;;;
2021-08-12;;;86,83;;;;
2021-08-11;;;86,83;;;;
2021-08-10;;;86,83;;;;
2021-08-09;;;86,83;;;;
2021-08-06;;;86,83;;;;
2021-08-05;86,83;86,76;86,83;86,80;276;23955;
2021-08-04;;;85,34;;;;
2021-08-03;85,70;85,11;85,34;85,20;40023;3409771;
2021-08-02;85,79;85,79;85,79;85,79;41;3517;
2021-07-30;85,58;84,22;85,55;84,61;102090;8637690;
2021-07-29;;;84,92;;;;
2021-07-28;;;84,92;;;;
2021-07-27;85,24;84,25;84,92;84,82;342894;29083139;
2021-07-26;;;84,82;;;;
2021-07-23;;;84,82;;;;
2021-07-22;;;84,82;;;;
2021-07-21;84,82;82,47;84,82;83,10;422805;35135546;
2021-07-20;83,35;81,81;82,64;82,48;582014;48006334;
2021-07-19;84,44;81,00;81,79;82,32;539161;44384250;
2021-07-16;87,20;85,34;85,66;86,92;6150;534547;
2021-07-15;87,45;86,43;86,45;86,96;106350;9248146;
2021-07-14;88,00;87,55;88,00;87,68;50112;4394056;
2021-07-13;;;86,91;;;;
2021-07-12;;;86,91;;;;
2021-07-09;86,91;84,81;86,91;85,38;41070;3506552;
2021-07-08;85,37;83,11;84,39;84,57;265450;22447831;
2021-07-07;;;84,93;;;;
2021-07-06;85,21;84,93;84,93;85,10;39;3319;
2021-07-05;86,23;86,23;86,23;86,23;13;1121;
2021-07-02;;;85,72;;;;
2021-07-01;86,80;84,91;85,72;85,70;80213;6873999;
2021-06-30;85,13;84,31;85,13;84,57;90013;7612549;
2021-06-29;87,11;86,53;87,11;86,73;76;6591;
2021-06-28;85,22;85,22;85,22;85,22;24;2045;
2021-06-24;85,09;84,51;84,61;84,78;80000;6782700;
2021-06-23;85,70;84,39;84,55;84,96;160000;13593855;
2021-06-22;;;86,25;;;;
2021-06-21;86,25;83,70;86,25;84,19;70198;5909751;
2021-06-18;87,21;84,80;85,20;85,20;280000;23856185;
2021-06-17;87,08;87,06;87,08;87,06;10110;880178;
2021-06-16;86,90;86,79;86,90;86,90;20012;1738991;
2021-06-15;87,09;86,76;86,76;86,88;45200;3926906;
2021-06-14;86,27;86,27;86,27;86,27;25000;2156750;
2021-06-11;;;84,83;;;;
2021-06-10;84,83;84,59;84,83;84,73;40024;3391330;
2021-06-09;85,13;84,49;84,97;84,78;81271;6890005;
