sep=;
Datum;Högstakurs;Lägstakurs;Stängn.kurs;Genomsnittspris;Tot.vol.;Oms;
2021-10-29;17,12;16,15;16,21;16,58;950520;15760357;
2021-10-28;;;18,92;;;;
2021-10-27;;;18,92;;;;
2021-10-26;;;18,92;;;;
2021-10-25;;;18,92;;;;
2021-10-22;;;18,92;;;;
2021-10-21;;;18,92;;;;
2021-10-20;;;18,92;;;;
2021-10-19;;;18,92;;;;
2021-10-18;;;18,92;;;;
2021-10-15;18,92;18,92;18,92;18,92;53;1003;
2021-10-14;20,30;18,94;18,94;20,17;553;11154;
2021-10-13;;;21,52;;;;
2021-10-12;;;21,52;;;;
2021-10-11;;;21,52;;;;
2021-10-08;22,19;21,43;21,52;21,89;50572;1106792;
2021-10-07;22,90;21,58;21,58;22,15;350656;7765371;
2021-10-06;;;22,60;;;;
2021-10-05;;;22,60;;;;
2021-10-04;;;22,60;;;;
2021-10-01;23,56;21,58;22,60;21,92;500216;10963525;
2021-09-30;21,01;19,68;20,93;19,86;400842;7961136;
2021-09-29;20,88;20,07;20,87;20,34;1015198;20644357;
2021-09-28;18,92;18,87;18,92;18,90;126;2381;
2021-09-27;18,36;17,58;18,13;18,01;792;14262;
2021-09-24;19,25;18,50;19,00;19,00;55734;1058820;
2021-09-23;18,23;17,45;17,71;17,79;1361766;24221097;
2021-09-22;20,50;19,02;19,14;19,74;627750;12393532;
2021-09-21;22,19;20,66;20,88;20,91;606542;12679948;
2021-09-20;24,30;21,60;24,00;22,78;58548;1333924;
2021-09-17;18,83;16,61;18,80;17,69;8888;157192;
2021-09-16;17,64;17,00;17,52;17,29;7322;126570;
2021-09-15;17,71;17,10;17,46;17,32;5068;87796;
2021-09-14;17,75;16,82;17,44;17,14;7424;127221;
2021-09-13;17,98;16,62;17,46;16,91;19382;327807;
2021-09-10;18,44;17,50;18,44;17,91;4128;73953;
2021-09-09;20,00;17,99;18,50;19,06;5992;114211;
2021-09-08;18,51;16,50;18,33;17,79;16728;297539;
2021-09-07;16,04;15,45;16,04;15,79;2164;34165;
2021-09-06;16,17;15,00;15,22;15,68;5123;80305;
2021-09-03;17,51;16,00;16,96;16,88;7267;122666;
2021-09-02;16,41;16,00;16,41;16,21;1600;25928;
2021-09-01;16,50;14,86;16,50;15,67;7800;122188;
2021-08-31;17,01;14,50;16,49;15,58;8800;137136;
2021-08-30;;;16,00;;;;
2021-08-27;16,50;16,00;16,00;16,25;1600;26000;
2021-08-26;17,51;16,50;16,72;16,93;8000;135456;
2021-08-25;16,01;15,50;16,01;15,75;1671;26310;
2021-08-24;15,66;15,62;15,62;15,66;2471;38693;
2021-08-23;;;17,50;;;;
2021-08-20;18,53;17,50;17,50;18,01;4800;86448;
2021-08-19;18,52;17,50;17,50;18,09;4800;86816;
2021-08-18;;;14,99;;;;
2021-08-17;;;14,99;;;;
2021-08-16;;;14,99;;;;
2021-08-13;14,99;14,99;14,99;14,99;2000;29980;
2021-08-12;15,98;15,38;15,38;15,78;2400;37872;
2021-08-11;;;17,00;;;;
2021-08-10;;;17,00;;;;
2021-08-09;;;17,00;;;;
2021-08-06;17,00;17,00;17,00;17,00;1600;27200;
2021-08-05;;;18,00;;;;
2021-08-04;19,00;18,00;18,00;18,60;4000;74384;
2021-08-03;20,00;19,50;19,50;19,75;1600;31600;
2021-08-02;20,01;18,49;19,69;19,42;10768;209152;
2021-07-30;20,50;19,50;19,50;20,03;8000;160218;
2021-07-29;18,99;18,99;18,99;18,99;800;15192;
2021-07-28;20,01;19,50;19,50;19,67;2400;47208;
2021-07-27;21,00;19,50;20,17;20,13;6500;130825;
2021-07-26;19,50;19,00;19,00;19,28;2400;46272;
2021-07-23;19,50;18,50;18,50;19,00;2400;45600;
2021-07-22;20,50;19,78;20,00;20,16;5810;117144;
2021-07-21;23,51;21,00;21,00;22,25;6400;142408;
2021-07-20;24,51;22,50;23,00;23,50;9600;225640;
2021-07-19;25,00;23,02;25,00;24,46;14400;352200;
2021-07-16;;;18,00;;;;
2021-07-15;;;18,00;;;;
2021-07-14;;;18,00;;;;
2021-07-13;;;18,00;;;;
2021-07-12;18,00;18,00;18,00;18,00;1000;18000;
2021-07-09;20,52;19,00;19,00;19,57;2220;43446;
2021-07-08;22,09;21,00;21,00;21,09;1110;23408;
2021-07-07;19,00;19,00;19,00;19,00;1000;19000;
2021-07-06;;;18,96;;;;
2021-07-05;;;18,96;;;;
2021-07-02;18,96;18,96;18,96;18,96;1000;18960;
2021-07-01;19,00;19,00;19,00;19,00;1000;19000;
2021-06-30;20,79;19,93;19,96;20,50;1640;33626;
2021-06-29;18,00;18,00;18,00;18,00;1000;18000;
2021-06-28;19,00;19,00;19,00;19,00;1000;19000;
2021-06-24;;;19,49;;;;
2021-06-23;;;19,49;;;;
2021-06-22;19,49;19,49;19,49;19,49;1000;19490;
2021-06-21;21,49;19,50;19,50;20,49;3000;61480;
2021-06-18;19,57;19,37;19,57;19,47;200;3894;
2021-06-17;;;18,00;;;;
2021-06-16;;;18,00;;;;
2021-06-15;;;18,00;;;;
2021-06-14;18,00;18,00;18,00;18,00;1000;18000;
2021-06-11;19,00;19,00;19,00;19,00;1000;19000;
2021-06-10;19,50;19,50;19,50;19,50;1000;19500;
2021-06-09;;;19,00;;;;
2021-06-08;;;19,00;;;;
2021-06-07;19,00;19,00;19,00;19,00;1000;19000;
2021-06-04;19,00;19,00;19,00;19,00;1000;19000;
2021-06-03;;;18,98;;;;
2021-06-02;;;18,98;;;;
2021-06-01;20,62;18,98;18,98;19,65;2451;48156;
2021-05-31;21,16;21,16;21,16;21,16;141;2984;
2021-05-28;21,00;21,00;21,00;21,00;1000;21000;
2021-05-27;;;21,61;;;;
2021-05-26;21,61;20,56;21,61;21,18;1110;23512;
2021-05-25;;;21,00;;;;
2021-05-24;21,00;20,81;21,00;20,96;16000;335362;
2021-05-21;;;22,74;;;;
2021-05-20;25,20;22,60;22,74;23,59;11180;263788;
2021-05-19;26,60;23,13;24,80;24,51;11540;282848;
2021-05-18;21,13;20,91;20,91;21,09;1650;34802;
2021-05-17;22,60;21,40;22,20;22,01;7500;165066;
2021-05-14;24,05;22,00;22,00;23,32;9560;222893;
2021-05-12;25,60;24,15;25,21;24,63;59320;1460938;
2021-05-11;26,00;23,60;25,00;24,95;12400;309421;
2021-05-10;22,61;21,90;22,40;22,32;3000;66956;
2021-05-07;23,49;22,20;22,40;22,86;6400;146308;
2021-05-06;25,60;23,79;24,40;24,75;7200;178218;
2021-05-05;26,92;24,80;24,80;25,95;4300;111565;
2021-05-04;28,20;23,98;27,80;26,37;12600;332298;
2021-05-03;25,40;23,78;24,00;24,54;5000;122678;
2021-04-30;25,40;24,20;25,40;24,66;4000;98638;
2021-04-29;25,60;23,17;25,00;24,64;4400;108422;
2021-04-28;23,80;23,00;23,40;23,40;2300;53822;
2021-04-27;24,60;23,40;23,80;24,09;2600;62625;
2021-04-26;24,00;23,37;23,60;23,64;2000;47277;
2021-04-23;25,00;23,49;23,80;24,21;3800;92010;
2021-04-22;24,21;23,20;24,21;23,78;3800;90365;
2021-04-21;25,80;24,40;24,40;25,09;4200;105371;
2021-04-20;25,50;22,60;25,00;24,21;4600;111344;
2021-04-19;23,00;21,60;22,80;22,43;3280;73568;
2021-04-16;23,76;21,79;22,03;22,78;6000;136666;
2021-04-15;24,40;24,00;24,00;24,16;1000;24160;
2021-04-14;24,61;23,98;24,60;24,38;3422;83427;
2021-04-13;25,00;24,00;24,40;24,45;3000;73364;
2021-04-12;24,80;24,20;24,61;24,54;1800;44176;
2021-04-09;25,20;24,40;24,40;24,77;2880;71333;
2021-04-08;25,41;24,59;24,85;24,93;3820;95239;
2021-04-07;25,40;24,60;25,40;25,05;1800;45082;
2021-04-06;25,20;23,98;25,00;24,45;10760;263080;
2021-04-01;26,74;26,00;26,00;26,34;5100;134326;
2021-03-31;27,40;26,80;26,80;27,08;4000;108320;
2021-03-30;28,20;27,00;27,46;27,56;9400;259040;
2021-03-29;29,61;28,40;28,40;29,06;11200;325428;
2021-03-26;30,21;29,60;29,80;29,86;6000;179164;
2021-03-25;33,01;30,80;30,80;31,97;14300;457200;
2021-03-24;32,07;31,00;31,40;31,46;10600;333449;
2021-03-23;32,00;30,20;30,80;31,05;12100;375682;
2021-03-22;31,80;30,40;30,40;31,03;10140;314646;
2021-03-19;31,60;29,78;30,84;30,66;11278;345783;
2021-03-18;30,41;29,20;30,00;29,79;14800;440956;
2021-03-17;31,80;30,40;30,60;30,92;5200;160776;
2021-03-16;32,13;31,40;31,60;31,73;2000;63466;
2021-03-15;33,20;31,60;32,40;32,34;5000;161692;
2021-03-12;32,80;31,80;32,20;32,38;5900;191056;
2021-03-11;32,01;31,32;31,60;31,63;6100;192933;
2021-03-10;33,20;31,80;31,99;32,09;12200;391556;
2021-03-09;34,20;32,60;32,60;33,26;5400;179582;
2021-03-08;37,80;33,39;33,80;35,65;9200;327942;
2021-03-05;38,81;37,00;37,40;37,99;10800;410294;
2021-03-04;38,20;36,60;38,20;37,33;8400;313596;
2021-03-03;37,60;35,59;37,00;36,63;7000;256430;
2021-03-02;38,01;36,54;36,80;37,27;6800;253402;
2021-03-01;38,80;37,40;37,60;38,13;4000;152512;
2021-02-26;;;38,20;;;;
2021-02-25;38,20;36,79;38,20;37,63;5000;188172;
2021-02-24;38,21;37,20;37,20;37,81;3400;128564;
2021-02-23;37,81;37,81;37,81;37,81;200;7562;
2021-02-22;38,05;37,60;37,60;37,83;400;15130;
2021-02-19;37,80;37,00;37,60;37,49;3000;112458;
2021-02-18;;;37,80;;;;
2021-02-17;38,00;36,99;37,80;37,59;5200;195488;
2021-02-16;36,80;36,19;36,80;36,49;2600;94864;
2021-02-15;36,60;36,00;36,19;36,17;2200;79584;
2021-02-12;38,41;37,00;37,20;37,79;3400;128496;
2021-02-11;38,41;37,20;37,40;37,74;4600;173598;
2021-02-10;38,81;37,00;38,39;37,72;4600;173510;
2021-02-09;38,02;37,20;37,40;37,64;3400;127978;
2021-02-08;37,20;35,98;37,20;36,62;5600;205092;
2021-02-05;37,61;36,73;37,20;37,12;3400;126194;
2021-02-04;38,64;37,20;37,40;37,91;3600;136472;
2021-02-03;38,82;37,99;38,20;38,48;4200;161606;
2021-02-02;;;39,20;;;;
2021-02-01;;;39,20;;;
