Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),$2.725,-0.015,-0.547%,42883749154.00,,2013,2928123,Consumer Non-Durables,Beverages (Production/Distribution)
AKA,a.k.a. Brands Holding Corp. Common Stock,$8.38,0.17,2.071%,1060825382.00,,2021,70518,Consumer Non-Durables,Department/Specialty Retail Stores
ANDE,Andersons Inc. (The) Common Stock,$32.27,0.35,1.096%,1074034310.00,United States,,52897,Consumer Non-Durables,Tobacco
ASO,Academy Sports and Outdoors Inc. Common Stock,$41.26,0.58,1.426%,3671992537.00,United States,2020,262340,Consumer Non-Durables,Recreational Products/Toys
AXON,Axon Enterprise Inc. Common Stock,$167.88,3.33,2.024%,11025633998.00,United States,,24727,Consumer Non-Durables,Military/Government/Technical
BBIG,Vinco Ventures Inc. Common Stock,$5.36,0.35,6.986%,521413880.00,United States,2018,5435444,Consumer Non-Durables,Recreational Products/Toys
BC,Brunswick Corporation Common Stock,$100.76,1.36,1.368%,7808830173.00,United States,,53949,Consumer Non-Durables,Recreational Products/Toys
BERY,Berry Global Group Inc. Common Stock,$60.83,0.48,0.795%,8230299000.00,United States,2012,42374,Consumer Non-Durables,Plastic Products
BGS,B&G Foods Inc. B&G Foods Inc. Common Stock,$29.51,0.33,1.131%,1913018742.00,United States,,55182,Consumer Non-Durables,Packaged Foods
BHAT,Blue Hat Interactive Entertainment Technology Ordinary Shares,$0.5802,-0.0048,-0.821%,20388874.00,China,2019,55435,Consumer Non-Durables,Recreational Products/Toys
BRBR,BellRing Brands Inc. Class A Common Stock,$27.99,-0.21,-0.745%,1105896964.00,United States,2019,13017,Consumer Non-Durables,Beverages (Production/Distribution)
BRFS,BRF S.A.,$4.88,0.07,1.455%,3944952682.00,Brazil,,177013,Consumer Non-Durables,Meat/Poultry/Fish
BRID,Bridgford Foods Corporation Common Stock,$11.58,-0.22,-1.864%,105109715.00,United States,,494,Consumer Non-Durables,Specialty Foods
BRLT,Brilliant Earth Group Inc. Class A Common Stock,$12.1976,-0.0324,-0.265%,116893650.00,United States,2021,42177,Consumer Non-Durables,Consumer Specialties
BTI,British American Tobacco  Industries p.l.c. Common Stock ADR,$34.98,0.09,0.258%,80266943121.00,United Kingdom,,978134,Consumer Non-Durables,Farming/Seeds/Milling
BTTR,Better Choice Company Inc. Common Stock,$3.72,-0.11,-2.872%,110060262.00,,2021,48969,Consumer Non-Durables,Food Distributors
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),$54.81,-0.14,-0.255%,108509195985.00,Belgium,,696985,Consumer Non-Durables,Beverages (Production/Distribution)
BUR,Burford Capital Limited Ordinary Shares,$10.71,-0.06,-0.557%,2346024183.00,,2020,36332,Consumer Non-Durables,Farming/Seeds/Milling
BURL,Burlington Stores Inc. Common Stock,$273.95,-3.50,-1.261%,18279170200.00,,2013,44216,Consumer Non-Durables,Apparel
BYND,Beyond Meat Inc. Common Stock,$101.8099,1.2299,1.223%,6439929025.00,United States,2019,474049,Consumer Non-Durables,Specialty Foods
BYRN,Byrna Technologies Inc. Common Stock,$20.1755,-0.5845,-2.816%,475495881.00,United States,,66370,Consumer Non-Durables,Military/Government/Technical
CAG,ConAgra Brands Inc. Common Stock,$34.025,0.305,0.905%,16321444799.00,United States,,521854,Consumer Non-Durables,Packaged Foods
CAL,Caleres Inc. Common Stock,$22.18,0.30,1.371%,848785660.00,United States,,57404,Consumer Non-Durables,Shoe Manufacturing
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares,$54.15,0.10,0.185%,24689575482.00,United Kingdom,,91884,Consumer Non-Durables,Beverages (Production/Distribution)
CCU,Compania Cervecerias Unidas S.A. Common Stock,$16.94,0.10,0.594%,3129689326.00,Chile,,33903,Consumer Non-Durables,Beverages (Production/Distribution)
CELH,Celsius Holdings Inc. Common Stock,$95.79,1.69,1.796%,7134659804.00,United States,,124070,Consumer Non-Durables,Beverages (Production/Distribution)
CHD,Church & Dwight Company Inc. Common Stock,$83.01,-0.14,-0.168%,20382541613.00,United States,,57147,Consumer Non-Durables,Package Goods/Cosmetics
CHEF,The Chefs' Warehouse Inc. Common Stock,$34.22,-0.09,-0.262%,1298942026.00,United States,2011,18712,Consumer Non-Durables,Food Distributors
CHSCL,CHS Inc Class B Cumulative Redeemable Preferred Stock Series 4,$28.46,-0.12,-0.42%,0.00,United States,,1120,Consumer Non-Durables,Tobacco
CHSCM,CHS Inc Class B Reset Rate Cumulative Redeemable Preferred Stock Series 3,$27.43,-0.0592,-0.215%,0.00,United States,,427,Consumer Non-Durables,Tobacco
CHSCN,CHS Inc Preferred Class B Series 2 Reset Rate,$27.3321,-0.0479,-0.175%,0.00,United States,,563,Consumer Non-Durables,Tobacco
CHSCO,CHS Inc. Class B Cumulative Redeemable Preferred Stock,$27.85,-0.04,-0.143%,0.00,United States,,3005,Consumer Non-Durables,Tobacco
CHSCP,CHS Inc. 8%  Cumulative Redeemable Preferred Stock,$30.18,0.01,0.033%,0.00,United States,,983,Consumer Non-Durables,Tobacco
CL,Colgate-Palmolive Company Common Stock,$75.89,0.30,0.397%,64014238756.00,United States,,691067,Consumer Non-Durables,Package Goods/Cosmetics
CLAR,Clarus Corporation Common Stock,$27.00,-0.20,-0.735%,912601404.00,United States,,26655,Consumer Non-Durables,Recreational Products/Toys
CLXT,Calyxt Inc. Common Stock,$3.08,-0.03,-0.965%,114794674.00,United States,2017,20207,Consumer Non-Durables,Food Distributors
COKE,Coca-Cola Consolidated Inc. Common Stock,$401.6309,-3.3691,-0.832%,3764763149.00,United States,1972,1828,Consumer Non-Durables,Beverages (Production/Distribution)
COLM,Columbia Sportswear Company Common Stock,$96.50,1.20,1.259%,6365817816.00,United States,1998,27297,Consumer Non-Durables,Apparel
